eid,iso3c
2-s2.0-105010247166,SGP
2-s2.0-85194472748,USA
2-s2.0-85194472748,DEU
2-s2.0-105010285200,USA
2-s2.0-105010286773,RUS
2-s2.0-105010207500,IND
2-s2.0-105010238481,DEU
2-s2.0-105010238481,CHE
2-s2.0-105010238481,USA
2-s2.0-105010182631,CHN
2-s2.0-105010182631,AUS
2-s2.0-105010182631,ARE
2-s2.0-85083950197,USA
2-s2.0-105010216691,CHN
2-s2.0-105010242620,USA
2-s2.0-105010226254,CHN
2-s2.0-105010226254,AUS
2-s2.0-105010226254,USA
2-s2.0-105010286885,USA
2-s2.0-105010286885,CHN
2-s2.0-105010286641,GBR
2-s2.0-105010286641,HKG
2-s2.0-105010243942,HKG
2-s2.0-105010243942,CHN
2-s2.0-105010243942,USA
2-s2.0-105010207755,JPN
2-s2.0-105010241647,CHN
2-s2.0-105010251436,USA
2-s2.0-105010187075,CHN
2-s2.0-105010215014,JPN
2-s2.0-105010215014,USA
2-s2.0-105010215014,SGP
2-s2.0-85196977065,CHN
2-s2.0-85196977065,JPN
2-s2.0-105010224086,USA
2-s2.0-85200572947,HKG
2-s2.0-85200572947,CHN
2-s2.0-85200572947,USA
2-s2.0-105010227350,USA
2-s2.0-105010283242,CHN
2-s2.0-105010192653,CHN
2-s2.0-105010192653,USA
2-s2.0-105010192653,ARE
2-s2.0-85196961242,FRA
2-s2.0-105010233012,BEL
2-s2.0-105010233012,USA
2-s2.0-85200597799,CHE
2-s2.0-85200567106,CAN
2-s2.0-85197058060,CHN
2-s2.0-85199922157,GBR
2-s2.0-105010284845,USA
2-s2.0-85150609295,GBR
2-s2.0-85150609295,USA
2-s2.0-105010183900,CAN
2-s2.0-105010183900,FRA
2-s2.0-105010248628,CHN
2-s2.0-85197264994,CHN
2-s2.0-105010191770,KOR
2-s2.0-105010191770,USA
2-s2.0-105010236528,GBR
2-s2.0-85192367183,BEL
2-s2.0-85196574082,SAU
2-s2.0-105010182808,USA
2-s2.0-105010283508,DEU
2-s2.0-105010233482,FRA
2-s2.0-85148892726,GBR
2-s2.0-85148892726,DEU
2-s2.0-85148892726,USA
2-s2.0-85148892726,CAN
2-s2.0-85198237586,HKG
2-s2.0-85198237586,CHN
2-s2.0-85198237586,MAC
2-s2.0-105010225636,CHE
2-s2.0-105010187375,USA
2-s2.0-105010194935,USA
2-s2.0-105010222363,CHN
2-s2.0-85200581513,DEU
2-s2.0-85200581513,CAN
2-s2.0-85146811777,USA
2-s2.0-105010194812,CHN
2-s2.0-85189343679,USA
2-s2.0-105010257322,USA
2-s2.0-105010233277,RUS
2-s2.0-105010234128,USA
2-s2.0-105010197296,ESP
2-s2.0-105010197296,ITA
2-s2.0-105010197296,GBR
2-s2.0-105010197296,DNK
2-s2.0-85200534440,CHN
2-s2.0-85150652939,DEU
2-s2.0-85150652939,CHE
2-s2.0-105010226859,USA
2-s2.0-85200145185,AUS
2-s2.0-85200145185,USA
2-s2.0-85200145185,CHN
2-s2.0-85200145185,ARE
2-s2.0-85196256819,CHN
2-s2.0-85196256819,CAN
2-s2.0-105010287097,CZE
2-s2.0-85128996390,CHN
2-s2.0-85128996390,USA
2-s2.0-105010222255,USA
2-s2.0-105010222255,KOR
2-s2.0-85090866588,USA
2-s2.0-105010224792,CHN
2-s2.0-105010186191,SAU
2-s2.0-105010186191,GBR
2-s2.0-105010186191,CHE
2-s2.0-105010267360,HKG
2-s2.0-105010220190,USA
2-s2.0-85174782750,USA
2-s2.0-105010281784,USA
2-s2.0-105010234598,USA
2-s2.0-105010199360,CHN
2-s2.0-105010204964,CAN
2-s2.0-85150388144,GBR
2-s2.0-85133550818,USA
2-s2.0-85200559826,ISR
2-s2.0-85105543852,USA
2-s2.0-85197612303,USA
2-s2.0-85197612303,GBR
2-s2.0-85088228652,USA
2-s2.0-85088228652,ESP
2-s2.0-105010281499,USA
2-s2.0-105010210177,USA
2-s2.0-105010210177,CHN
2-s2.0-85199901138,DEU
2-s2.0-85199901138,USA
2-s2.0-85199901138,SWE
2-s2.0-105010238624,CHN
2-s2.0-85150263666,USA
2-s2.0-105010274960,CHN
2-s2.0-85198667390,CHN
2-s2.0-105010273519,SGP
2-s2.0-85180808970,KOR
2-s2.0-85150238576,CHE
2-s2.0-85150238576,USA
2-s2.0-105010203896,HKG
2-s2.0-85139811675,USA
2-s2.0-105010279047,CHN
2-s2.0-105010279047,USA
2-s2.0-105010202449,USA
2-s2.0-105010252947,JPN
2-s2.0-85162839015,CAN
2-s2.0-85162839015,USA
2-s2.0-105010252703,CHN
2-s2.0-105010271685,USA
2-s2.0-85200598582,FRA
2-s2.0-105010271327,USA
2-s2.0-105010247689,USA
2-s2.0-85150595152,DEU
2-s2.0-85150614552,CHN
2-s2.0-85150614552,USA
2-s2.0-105010226882,CAN
2-s2.0-105010225794,CHN
2-s2.0-85143581937,USA
2-s2.0-105010281360,USA
2-s2.0-105010281360,CAN
2-s2.0-105010281121,CHN
2-s2.0-105010281000,RUS
2-s2.0-85199867996,USA
2-s2.0-105010282328,CHN
2-s2.0-105010282328,GBR
2-s2.0-105010262953,AUT
2-s2.0-105010204870,USA
2-s2.0-105010204870,CAN
2-s2.0-85200596166,CHN
2-s2.0-85200596166,USA
2-s2.0-105010189992,USA
2-s2.0-85128563073,KOR
2-s2.0-85179079888,CAN
2-s2.0-85179079888,IND
2-s2.0-85179079888,NLD
2-s2.0-85179079888,USA
2-s2.0-85179079888,GBR
2-s2.0-105010272763,USA
2-s2.0-85192857599,USA
2-s2.0-85194253641,USA
2-s2.0-105010225566,GBR
2-s2.0-105010222055,USA
2-s2.0-105010222055,KOR
2-s2.0-105010250853,CHN
2-s2.0-105010269229,CAN
2-s2.0-85150378553,KOR
2-s2.0-85150378553,USA
2-s2.0-85153762653,USA
2-s2.0-85196876046,JPN
2-s2.0-85185697956,USA
2-s2.0-85150302707,USA
2-s2.0-85150302707,GBR
2-s2.0-85150302707,CAN
2-s2.0-105010237424,CHN
2-s2.0-85199890889,USA
2-s2.0-105010229921,GBR
2-s2.0-105010229921,POL
2-s2.0-105010229921,USA
2-s2.0-105010236210,CHN
2-s2.0-85192602137,HKG
2-s2.0-85192602137,JPN
2-s2.0-85192602137,CAN
2-s2.0-85185871773,FRA
2-s2.0-85185871773,ITA
2-s2.0-105010193903,IND
2-s2.0-105010187354,CHN
2-s2.0-105010187354,GBR
2-s2.0-105010192811,CHN
2-s2.0-105010192811,GBR
2-s2.0-85150612234,CHE
2-s2.0-85150612234,USA
2-s2.0-85150357861,USA
2-s2.0-85083953343,USA
2-s2.0-85083953343,CAN
2-s2.0-85083951767,USA
2-s2.0-85083954099,USA
2-s2.0-85083953891,CHE
